"price","bedrooms","grade","has_basement","living_in_m2","renovated","nice_view","perfect_condition","real_bathrooms","has_lavatory","single_floor","month","quartile_zone","year"
312000,2,2,1,138.42547,0,0,0,2,1,0,5,1,2014
310000,2,2,0,105.90942,0,0,0,1,1,0,11,3,2014
320000,2,2,0,117.98681,0,1,0,1,0,1,12,2,2014
264500,2,3,0,151.43189,0,0,0,2,1,1,2,1,2015
7e+05,3,2,1,341.88304,0,0,0,3,0,0,1,4,2015
445000,1,2,1,84.54173,0,1,0,1,0,1,3,3,2015
240500,2,2,1,135.63838,0,0,0,1,1,1,6,1,2014
235000,1,1,0,139.3545,0,0,0,1,0,1,10,1,2014
206000,2,2,0,105.90942,0,0,0,1,1,1,7,1,2014
545000,2,3,0,118.91584,0,0,0,2,1,0,9,4,2014
475000,3,5,1,347.45722,0,0,0,2,1,1,5,2,2014
456000,3,3,1,206.24466,0,0,0,1,1,1,10,4,2014
478000,2,2,1,145.85771,0,0,0,2,1,1,1,4,2015
690000,3,4,0,269.4187,0,0,0,2,1,0,7,4,2014
675000,3,4,0,297.2896,0,0,0,2,1,0,5,3,2014
442500,2,2,1,167.2254,0,0,0,1,1,1,7,2,2014
540000,3,3,1,266.63161,0,0,0,3,0,0,6,3,2014
255000,3,2,1,163.50928,0,0,0,2,1,1,7,1,2014
399950,2,2,1,136.56741,0,0,0,1,0,1,8,3,2014
455000,3,2,1,178.37376,0,0,0,1,1,1,11,2,2014
435000,1,2,1,91.97397,0,0,0,1,0,1,2,3,2015
470000,3,3,0,234.11556,0,0,0,2,1,0,10,2,2014
155000,1,1,0,93.83203,0,0,0,1,0,0,10,2,2014
82000,2,1,0,79.89658,0,0,0,1,0,1,11,1,2014
650000,3,4,0,261.98646,0,0,0,2,1,0,9,4,2014
219950,1,1,0,93.83203,1,0,0,1,0,0,8,1,2014
489000,1,2,1,136.102895,0,0,0,2,1,0,10,4,2014
442500,3,2,0,143.07062,0,0,1,2,0,0,8,2,2014
314950,2,2,0,157.00607,0,0,0,2,1,0,3,2,2015
575000,1,3,1,114.27069,0,0,0,1,1,1,4,3,2015
740000,3,3,1,207.17369,0,1,0,2,1,0,3,4,2015
820000,2,3,1,200.67048,0,0,0,1,1,1,6,3,2014
7e+05,2,4,0,188.59309,0,0,0,2,1,0,5,3,2014
227000,2,1,0,104.98039,0,0,0,1,0,1,9,1,2014
260000,3,3,0,185.806,0,0,0,2,1,0,6,1,2014
208000,2,1,0,97.54815,0,0,1,1,0,1,2,1,2015
625000,2,3,0,211.81884,0,0,0,2,1,0,4,4,2015
359000,2,2,0,184.87697,0,0,0,2,1,0,1,2,2015
630000,3,2,1,230.39944,0,0,0,2,0,0,4,3,2015
205000,2,2,0,111.4836,0,0,0,1,1,1,2,1,2015
539500,3,3,1,211.81884,0,0,0,2,1,1,12,2,2014
261000,3,2,0,169.08346,0,0,1,1,1,1,1,1,2015
423000,3,2,1,183.01891,0,0,1,2,0,0,11,2,2014
513000,3,2,1,179.30279,0,0,0,2,1,1,4,2,2015
690000,2,4,1,225.75429,0,0,0,2,1,1,8,4,2014
455000,2,2,0,128.20614,0,0,0,1,1,0,2,2,2015
849990,3,4,0,306.5799,0,0,0,2,1,0,10,4,2014
340000,3,2,0,114.27069,0,0,0,1,0,0,2,2,2015
225000,3,2,1,206.24466,0,0,0,2,0,1,9,1,2014
250000,1,1,0,95.69009,0,0,0,1,0,1,7,1,2014
315000,2,1,0,164.43831,0,0,0,2,0,1,10,2,2014
799990,2,5,0,264.77355,0,0,0,2,1,0,2,4,2015
450000,2,2,0,142.14159,0,0,0,1,1,1,6,2,2014
425000,3,2,1,160.72219,0,0,0,1,1,1,9,4,2014
